,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBC,Wed Jul 25 19:02:00 +0000 2018,"Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 📚😍

Pride and Prejudice |… https://t.co/bgxyIt8i5g",0.4019,0.247,0.617,0.136,1
1,@BBC,Wed Jul 25 18:02:05 +0000 2018,"From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 😂

https://t.co/MzLh704sPC",0.4404,0.184,0.725,0.092,2
2,@BBC,Wed Jul 25 16:02:05 +0000 2018,"Is this Africa’s most inventive neighbourhood? 💡🌿🥑

https://t.co/xgeQCMM1XP",0.0,0.0,1.0,0.0,3
3,@BBC,Wed Jul 25 14:37:40 +0000 2018,"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/F45qHNXcOR",0.0,0.0,1.0,0.0,4
4,@BBC,Wed Jul 25 13:57:01 +0000 2018,RT @BBCWthrWatchers: On Friday night you may see the moon turn red during a total lunar eclipse. Lasting 1 hr 40 mins it will be the longes…,0.0,0.0,1.0,0.0,5
5,@BBC,Wed Jul 25 13:02:05 +0000 2018,"💉 A jab that protects against a virus that causes cervical cancer will be given to boys aged 12 to 13 in England.
👉… https://t.co/joOj8vMupR",-0.4767,0.083,0.758,0.159,6
6,@BBC,Wed Jul 25 12:40:25 +0000 2018,"RT @bbcpress: 🤣 Want to write comedy? Want a six-month bursary to train and develop your skills at the BBC?
⏰ TIME IS RUNNING OUT! The dead…",0.6759,0.24,0.696,0.064,7
7,@BBC,Wed Jul 25 12:03:04 +0000 2018,"🌊🐬 These dolphins were rescued after getting stranded in shallow water in Tasmania. 

https://t.co/MRqRBxsctW",0.4215,0.177,0.823,0.0,8
8,@BBC,Wed Jul 25 11:02:03 +0000 2018,"'I downloaded all my Facebook data and it was a nightmare'. 💻🤦‍♀️

Have you ever wondered what your data actually l… https://t.co/0sNfkSket7",0.0,0.0,1.0,0.0,9
9,@BBC,Wed Jul 25 08:04:03 +0000 2018,"A startling insight into how society viewed the role of women in the 20th century. #WashesWhiter

https://t.co/BIoTfZ5DPG",0.0772,0.08,0.92,0.0,10
10,@BBC,Wed Jul 25 07:31:07 +0000 2018,"A watchdog has warned that the packaging you recycle 'may end up in landfill'. ♻️🗑

https://t.co/7q7NwFYVBh https://t.co/8SqE3kZ3j8",-0.2732,0.0,0.877,0.123,11
11,@BBC,Wed Jul 25 07:02:05 +0000 2018,"Why we should all love whale poo... 💚🐋💩 

#OurBluePlanet

https://t.co/VePUiOOE3F",0.6369,0.318,0.682,0.0,12
12,@BBC,Tue Jul 24 19:03:05 +0000 2018,"Fish are losing their sense of smell because of a rise in CO2 levels, according to new research. 🐟💔… https://t.co/9EWLY0pLrH",-0.3818,0.0,0.874,0.126,13
13,@BBC,Tue Jul 24 18:00:19 +0000 2018,The best way EVER to deal with a scam. https://t.co/nqWGYEEBy4,0.128,0.282,0.47,0.248,14
14,@BBC,Tue Jul 24 17:02:07 +0000 2018,"🌡🍂 From Carnoustie to London, the heatwave has left Britain's parks and lawns parched.

📷 https://t.co/yqcbYgu5Y7… https://t.co/I0rzDBzXOp",0.0,0.0,1.0,0.0,15
15,@BBC,Tue Jul 24 16:02:09 +0000 2018,"These birds woo the ladies with popcorn and cartwheels.
#AnimalsBehavingBadly https://t.co/HUArZNsNXy",0.4767,0.237,0.763,0.0,16
16,@BBC,Tue Jul 24 13:01:03 +0000 2018,"Got kids who are on school holidays? 

📱The ‘CBBC Buzz’ app is free, fun and there’s something for you, whatever yo… https://t.co/RCuJvRzW8D",0.8481,0.326,0.674,0.0,17
17,@BBC,Tue Jul 24 12:16:10 +0000 2018,"RT @BBCOxford: Oxford's Soup Peddler - who has given more than 4,000 free meals to the homeless - is hanging up his ladle.
Could you carry…",0.552,0.134,0.866,0.0,18
18,@BBC,Tue Jul 24 12:03:04 +0000 2018,"👨‍🎤🍞 The first known studio recording of David Bowie is set for auction after being found in an old bread basket.
👉… https://t.co/5R2Pmr8gBf",0.0,0.0,1.0,0.0,19
19,@BBC,Tue Jul 24 11:01:00 +0000 2018,"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.' https://t.co/sFUvFL8OaL",-0.0191,0.0,0.918,0.082,20
20,@BBC,Tue Jul 24 09:53:15 +0000 2018,RT @bbcworldservice: *Calling all Star Wars fans!* This is a VR experience where you star in the storyline. Hear more about Lucasfilm's VR…,-0.5983,0.0,0.844,0.156,21
21,@BBC,Tue Jul 24 08:00:10 +0000 2018,The perfect picnic doesn't exi... https://t.co/hCE7MqzF2P,0.5719,0.425,0.575,0.0,22
22,@BBC,Tue Jul 24 07:27:04 +0000 2018,👶👵 Most people feel younger or older than they really are – and this 'subjective age' has a big effect on their phy… https://t.co/vGnFI1TfmB,0.0,0.0,1.0,0.0,23
23,@BBC,Tue Jul 24 07:00:18 +0000 2018,Meet the man who escaped locked-in syndrome and is about to become a dad. https://t.co/x0Bkz8R176,0.0,0.0,1.0,0.0,24
24,@BBC,Mon Jul 23 20:03:06 +0000 2018,"Film-maker Mo Naqvi attempts to decide who to vote for in Pakistan's upcoming election.

Storyville: Insha'Allah De… https://t.co/u7nu633Gt2",0.0,0.0,1.0,0.0,25
25,@BBC,Mon Jul 23 18:02:06 +0000 2018,"💈❤️ Meet the barber tackling mental health one beard trim at a time.
(via @BBCThree) https://t.co/sTbcQnZ2ck",0.0,0.0,1.0,0.0,26
26,@BBC,Mon Jul 23 17:31:04 +0000 2018,"Follow the transportation of a herd of elephants from the Midlands to their new seaside home. 🐘

Elephants on the M… https://t.co/nvfAlmyl21",0.0,0.0,1.0,0.0,27
27,@BBC,Mon Jul 23 16:03:04 +0000 2018,🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,0.4939,0.314,0.686,0.0,28
28,@BBC,Mon Jul 23 15:31:24 +0000 2018,"RT @cbbc: Andy Samberg &amp; @selenagomez talk all things @HotelT 🕸️👻🌴
For the full interview download the #CBBCBuzz app now! https://t.co/83Vu…",0.0,0.0,1.0,0.0,29
29,@BBC,Mon Jul 23 13:02:00 +0000 2018,"If you're blind or partially sighted, this might help.
 
At the BBC, we offer audio description to describe our sho… https://t.co/jDXcSK72uQ",0.0,0.111,0.779,0.111,30
30,@BBC,Mon Jul 23 12:02:03 +0000 2018,"Y'alright love? 🐦 

Meet Mourdour, the raven with a Yorkshire accent.... 

https://t.co/6K9eMeDh0k",0.6369,0.296,0.704,0.0,31
31,@BBC,Mon Jul 23 11:37:06 +0000 2018,RT @bbccomedy: The wonderful Victoria Wood talking sex. ❤️ https://t.co/uKdwA5f3T0,0.5719,0.27,0.73,0.0,32
32,@BBC,Mon Jul 23 11:36:58 +0000 2018,RT @bbccomedy: When it's not just work you're frustrated with... https://t.co/Qlv5gMgkGD,-0.5267,0.0,0.746,0.254,33
33,@BBC,Mon Jul 23 11:03:09 +0000 2018,When is a film so bad it's actually good? 🍿🤦‍♀️ https://t.co/zNWeEnZVQd https://t.co/F3rLExxpyR,-0.38,0.177,0.549,0.274,34
34,@BBC,Mon Jul 23 08:12:20 +0000 2018,"RT @bbcgetinspired: He came within minutes of losing his life in a horrific accident - but eight years on, he is about to represent Norther…",-0.6757,0.0,0.753,0.247,35
35,@BBC,Mon Jul 23 08:03:02 +0000 2018,"Ntando Mahlangu walked for the first time at the age of ten. 

By the time he was 14, he had a silver medal from Ri… https://t.co/JodVvKpqUw",0.4767,0.114,0.886,0.0,36
36,@BBC,Mon Jul 23 07:32:03 +0000 2018,"The UK government says air pollution is the fourth biggest threat to public health. 🤧💨

Here's what you can do to i… https://t.co/SVbU4D7961",-0.5267,0.0,0.866,0.134,37
37,@BBC,Mon Jul 23 07:03:07 +0000 2018,"✈️🎒 This is what happens to your suitcase after you've checked-in at an airport... 

https://t.co/SZZKKm6ONf",0.0,0.0,1.0,0.0,38
38,@BBC,Sun Jul 22 19:02:05 +0000 2018,❤️ The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,0.5994,0.245,0.755,0.0,39
39,@BBC,Sun Jul 22 18:05:05 +0000 2018,"See some art
Dwell on your wrongs
Talk to strangers

Tackle the week ahead with a spot of elastic thinking. https://t.co/W3gtqBFnss",0.128,0.073,0.927,0.0,40
40,@BBC,Sun Jul 22 18:02:04 +0000 2018,"RT @bbcmusic: Happy Birthday @SelenaGomez! 🎂🎉

Which is your favourite SG single? (We are going old school Selena and vote 'Naturally' 💫) h…",0.6114,0.154,0.846,0.0,41
41,@BBC,Sun Jul 22 17:06:28 +0000 2018,RT @BBCCountryfile: What's your top tip for enjoying our countryside? Here's @EllieHarrison_ @AdamHenson @tomheapmedia and @SteveBrownGBWR…,0.6369,0.271,0.729,0.0,42
42,@BBC,Sun Jul 22 16:45:18 +0000 2018,RT @BBCNews: London Anniversary Games: Kare Adenegan &amp; Sophie Hahn set world records https://t.co/DW7CyMwS7r,0.0,0.0,1.0,0.0,43
43,@BBC,Sun Jul 22 16:04:04 +0000 2018,"❤️ The mother of a five-year-old boy who helped write his own obituary before he died of cancer says she is ""humble… https://t.co/k1R3Tq8KX5",-0.8402,0.0,0.724,0.276,44
44,@BBC,Sun Jul 22 15:04:05 +0000 2018,"Keeping it low key 😉

This man asked his partner to marry him with a GIANT beach mural. 🏖 
https://t.co/FrqoNA4HhG",-0.2732,0.0,0.909,0.091,45
