,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBC,Sun Jul 29 20:03:05 +0000 2018,Stacey Dooley meets a Roma girl who turned to prostitution after she was removed from her parents at 13. https://t.co/I7opQRZ6Z2,0.0,0.0,1.0,0.0,1
1,@BBC,Sun Jul 29 19:02:05 +0000 2018,"🇺🇸 @edballs travels to America's Deep South to immerse himself in the lives of those who put Trump in power, and le… https://t.co/2oLWounf1y",0.4215,0.109,0.891,0.0,2
2,@BBC,Sun Jul 29 17:29:30 +0000 2018,"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",0.6239,0.146,0.854,0.0,3
3,@BBC,Sun Jul 29 17:03:03 +0000 2018,😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,0.6705,0.315,0.591,0.094,4
4,@BBC,Sun Jul 29 16:06:01 +0000 2018,"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship. https://t.co/DVpVhIssTc",0.2263,0.153,0.741,0.106,5
5,@BBC,Sun Jul 29 15:03:02 +0000 2018,😂📺🇦🇱 Here’s what happened when @RomeshRanga went on Albanian TV. https://t.co/WQ8kMjSFco,0.0,0.0,1.0,0.0,6
6,@BBC,Sun Jul 29 14:01:05 +0000 2018,Follow live coverage as 150 of the world's best cyclists compete on 200km of closed roads in London and Surrey. 🚴🚴🚴… https://t.co/it0KrVzqqu,0.6369,0.167,0.833,0.0,7
7,@BBC,Sun Jul 29 13:20:07 +0000 2018,"RT @BBCSportWales: It's a matter of hours until Geraint Thomas is crowned as the first Welshman to win the Tour de France

👉 Here's how he…",0.5994,0.159,0.841,0.0,8
8,@BBC,Sun Jul 29 13:18:07 +0000 2018,"RT @bbcgetinspired: Sam Maycock is fulfilling his dad Nigel's dream by taking on the 100-mile route in #RideLondon.

Nigel died in October…",-0.3818,0.078,0.781,0.141,9
9,@BBC,Sun Jul 29 13:01:07 +0000 2018,This teenager was banned from performing in drag at his school's end-of-year talent show. https://t.co/Hi6uXtSAFz,-0.2732,0.142,0.609,0.249,10
10,@BBC,Sun Jul 29 11:21:30 +0000 2018,"RT @BBCFood: Get the whole family making jaffa cakes this weekend 👇
https://t.co/8R0azXouDH https://t.co/xEC8aeQGs0",0.0,0.0,1.0,0.0,11
11,@BBC,Sun Jul 29 11:01:05 +0000 2018,"What is #ThinPrivilege and who has it?
👉 https://t.co/Ocbj6tAabk https://t.co/HMapWPvJt1",0.0,0.0,1.0,0.0,12
12,@BBC,Sun Jul 29 10:12:02 +0000 2018,"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/d4FhfFj5Sr",0.0,0.0,1.0,0.0,13
13,@BBC,Sun Jul 29 09:03:08 +0000 2018,"😂 With 37 Facebook likes and the world's most convoluted chant, the CNCSC is a force to be reckoned with.… https://t.co/7wQhKjH26j",0.6908,0.224,0.712,0.064,14
14,@BBC,Sun Jul 29 08:01:07 +0000 2018,"😥 An endangered red squirrel has died after becoming trapped inside a discarded plastic jar.
👉… https://t.co/19IZCDeWBZ",-0.9052,0.106,0.437,0.457,15
15,@BBC,Sun Jul 29 07:01:03 +0000 2018,"Two tiger brothers enjoy their first swimming lesson. 🐯💦 #InternationalTigerDay

https://t.co/QNRnmqTcK5",0.4939,0.242,0.758,0.0,16
16,@BBC,Sat Jul 28 20:45:06 +0000 2018,"Stand-up comedy from Stewart Lee, recorded live from the Palace Theatre, Southend-on-Sea. 

Stewart Lee Content Pro… https://t.co/VCNnbkhi7J",0.3612,0.135,0.865,0.0,17
17,@BBC,Sat Jul 28 20:29:40 +0000 2018,"RT @BBCOne: These seadragons are dancing together in a courtship ritual - and it's absolutely beautiful.

The complete series of Life is av…",0.6361,0.173,0.827,0.0,18
18,@BBC,Sat Jul 28 20:02:03 +0000 2018,The shocking story of a young man who shot his parents. https://t.co/6O1qzsiKAk,-0.4019,0.0,0.787,0.213,19
19,@BBC,Sat Jul 28 18:12:24 +0000 2018,RT @BBCTwo: Ever wondered how toilets are made? We're going #InsideTheFactory... 🚽😄 https://t.co/lgFuM6ER2p,0.0,0.0,1.0,0.0,20
20,@BBC,Sat Jul 28 18:07:05 +0000 2018,😂 Genius https://t.co/nqWGYEEBy4,0.4404,0.355,0.467,0.178,21
21,@BBC,Sat Jul 28 17:03:00 +0000 2018,"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.'
#TheFiveBillionPoundSuperSewer https://t.co/Ja9nBFnr6b",-0.0191,0.0,0.924,0.076,22
22,@BBC,Sat Jul 28 16:03:06 +0000 2018,"Are you sure you don’t gender-stereotype children?
#NoMoreBoysAndGirls https://t.co/iThZ2P6REW",0.3182,0.223,0.777,0.0,23
23,@BBC,Sat Jul 28 15:31:04 +0000 2018,"RT @bbcideas: Gin and tonic, the perfect pair. So, how did they come together? 🤔

More Edible Histories 🎥: https://t.co/8nH3A1rqFP https://…",0.5719,0.15,0.85,0.0,24
24,@BBC,Sat Jul 28 15:30:28 +0000 2018,"RT @BBCSport: Geraint Thomas just needs to roll over the line in Paris tomorrow to win the 2018 Tour de France.

He'll become the first Wel…",0.5859,0.132,0.868,0.0,25
25,@BBC,Sat Jul 28 15:04:06 +0000 2018,"Branded and beaten: The children accused of witchcraft and murder.
👉 https://t.co/0Lzx9wdLa1 https://t.co/Syvy5ca7QG",-0.8658,0.0,0.573,0.427,26
26,@BBC,Sat Jul 28 14:06:01 +0000 2018,🐾❤️ Heaven really is a place on Earth... https://t.co/hCE7MqzF2P,0.5106,0.32,0.68,0.0,27
27,@BBC,Sat Jul 28 13:02:06 +0000 2018,📖🥪 A brief history of the humble sarnie. https://t.co/25GXnqIXZy,0.0,0.0,1.0,0.0,28
28,@BBC,Sat Jul 28 12:02:40 +0000 2018,"RT @bbcgetinspired: ""You can rise again, it's not as though one thing happens to you and that's the end of your story."" 

After being hit b…",0.0,0.0,1.0,0.0,29
29,@BBC,Sat Jul 28 12:02:08 +0000 2018,RT @BBCScienceNews: Climate change made heatwave 'twice as likely' https://t.co/FQqzyhbiK4,0.0,0.0,1.0,0.0,30
30,@BBC,Sat Jul 28 11:03:04 +0000 2018,"🧠 'Damaging your brain might not kill you, but can change your behaviour.'

Five fascinating facts about the human… https://t.co/XLoaV7C1uM",0.7157,0.271,0.647,0.082,31
31,@BBC,Sat Jul 28 10:46:22 +0000 2018,"RT @BBCWorld: Simply stunning!

The longest #BloodMoon eclipse of the 21st Century as seen around the world

https://t.co/aHwGkVc3OP https:…",0.4389,0.138,0.862,0.0,32
32,@BBC,Sat Jul 28 10:05:04 +0000 2018,Need to clean your headphone socket? Check out this #TechHack. https://t.co/RDtpHt03ZX,0.4019,0.213,0.787,0.0,33
33,@BBC,Sat Jul 28 09:03:03 +0000 2018,"📚🌍 With classic and contemporary choices perfectly matched to destinations all over the world, here's your ultimate… https://t.co/fsadf3W3rU",0.6369,0.198,0.802,0.0,34
34,@BBC,Sat Jul 28 08:02:06 +0000 2018,🛌 Namastay in bed! https://t.co/s2J2Uf4U99,0.0,0.0,1.0,0.0,35
35,@BBC,Sat Jul 28 07:05:02 +0000 2018,🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,0.4939,0.314,0.686,0.0,36
36,@BBC,Fri Jul 27 18:01:08 +0000 2018,A pair of beavers are being released into the Forest of Dean with the hope they'll help prevent flooding in the are… https://t.co/wD23PTQUPg,0.6908,0.261,0.739,0.0,37
37,@BBC,Fri Jul 27 17:47:28 +0000 2018,RT @bbcpress: Stellar cast and creative team unveiled for @BBCOne adaptation of @PhilipPullman's #HisDarkMaterials: https://t.co/4Bm3OIaXCH…,0.4404,0.172,0.828,0.0,38
38,@BBC,Fri Jul 27 17:02:03 +0000 2018,🎅🎄😂 Too soon? https://t.co/L368bWE3t5,0.0,0.0,1.0,0.0,39
39,@BBC,Fri Jul 27 15:59:00 +0000 2018,When your boss is looking for you but it's after 5pm... 👋 #FridayFeeling https://t.co/J3NZSVi7jj,0.6486,0.235,0.765,0.0,40
40,@BBC,Fri Jul 27 15:16:01 +0000 2018,"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",0.34,0.211,0.789,0.0,41
41,@BBC,Fri Jul 27 13:01:03 +0000 2018,"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",0.0,0.0,1.0,0.0,42
42,@BBC,Fri Jul 27 12:50:53 +0000 2018,"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",0.5719,0.245,0.664,0.091,43
43,@BBC,Fri Jul 27 12:24:44 +0000 2018,😳 This man wants people to stop pretending to have sex with his hedge. https://t.co/VbuY1xtbQ1,-0.2023,0.08,0.795,0.125,44
44,@BBC,Fri Jul 27 12:14:56 +0000 2018,RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! https:/…,0.674,0.159,0.841,0.0,45
45,@BBC,Fri Jul 27 12:00:18 +0000 2018,⛷🐶 This is one way to keep dogs cool in the heat! https://t.co/ObXmR8febC,0.3802,0.178,0.822,0.0,46
46,@BBC,Fri Jul 27 11:02:04 +0000 2018,"🔬 From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… https://t.co/j4tgSCx3vl",0.5267,0.206,0.794,0.0,47
47,@BBC,Fri Jul 27 09:51:01 +0000 2018,"👀🌝 Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… https://t.co/w1Eoi6fA9R",0.0,0.0,1.0,0.0,48
48,@BBC,Fri Jul 27 09:38:09 +0000 2018,RT @bbccomedy: British or American Stand-up? 🤔🇬🇧🇺🇸 https://t.co/HBxD8YmCSZ,0.0,0.0,1.0,0.0,49
49,@BBC,Fri Jul 27 08:00:16 +0000 2018,😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,0.6705,0.315,0.591,0.094,50
50,@BBC,Fri Jul 27 07:26:02 +0000 2018,❤️📝 A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… https://t.co/gGO3mXQkkd,-0.34,0.118,0.702,0.18,51
51,@BBC,Fri Jul 27 07:01:03 +0000 2018,💔 @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… https://t.co/CmyXz2oGYr,-0.6249,0.0,0.779,0.221,52
52,@BBC,Thu Jul 26 19:02:05 +0000 2018,"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) https://t.co/b6mar28jBl",-0.4588,0.099,0.693,0.208,53
53,@BBC,Thu Jul 26 18:02:07 +0000 2018,"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. 💡… https://t.co/L7yN0qkCNz",-0.046,0.123,0.746,0.131,54
54,@BBC,Thu Jul 26 17:01:06 +0000 2018,A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,-0.5106,0.0,0.858,0.142,55
